Measurement Mode:,Custom Modes - Custom Mode 4
number,time,wol,xol,yol,zol,wor,xor,yor,zor,wb,xb,yb,zb,accx,accy,accz,deg,angle_left,angle_right,err_deg_oar_left_x,err_deg_oar_right_x,err_deg_boat_x,err_deg_oar_left_y,err_deg_oar_right_y,err_deg_boat_y,err_deg_oar_left_z,err_deg_oar_right_z,err_deg_boat_z,latitude,longitude,speed,SPM,SPLIT
2166,2025-01-17 17:09:49.323731,0.9710176,-0.056413345,0.2247909,-0.058680654,-0.7255558,-0.067528576,0.17802279,-0.66129804,0.99886715,-0.036078665,-0.024702553,0.020359516,-11.99802780309831,-2.605908833700786,29.083490574530508,2.435889257076087,-23,64,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2167,2025-01-17 17:09:49.340398,0.97216976,-0.058240242,0.22270449,-0.043919593,-0.73437786,-0.06554901,0.17846505,-0.65156835,0.99882996,-0.037029758,-0.024736494,0.020426601,-3.679751939594226,-0.657950286123546,10.242541627650725,2.4463414318744285,-22,63,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2168,2025-01-17 17:09:49.357065,0.9730505,-0.06022814,0.22084919,-0.028336644,-0.7436162,-0.06331852,0.17890221,-0.64110696,0.99881005,-0.037411064,-0.024852313,0.020566344,-3.5277846164118962,-1.38413597562945,9.032601554839225,2.463925711581039,-20,61,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2169,2025-01-17 17:09:49.373732,0.9737685,-0.06230568,0.21858056,-0.012144893,-0.75310755,-0.06071104,0.17932665,-0.6300663,0.99879616,-0.03775101,-0.024765145,0.02072683,-3.41598971669448,-1.589567616696018,9.25914450655956,2.482866369950344,-18,59,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2170,2025-01-17 17:09:49.390399,0.9740756,-0.064299926,0.21691427,0.004717529,-0.762808,-0.058064684,0.18004185,-0.6183332,0.9987806,-0.03799956,-0.024899319,0.020857781,-2.77285449080235,-0.622153653992796,10.008729150104472,2.499169732127996,-16,58,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2171,2025-01-17 17:09:49.407066,0.9741794,-0.06699036,0.21459624,0.021616578,-0.7726116,-0.055252455,0.18079142,-0.60607874,0.9987662,-0.03803029,-0.025323754,0.020986438,-2.494669832262762,-1.8447685851973619,9.957839920576387,2.515933484907988,-14,56,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2172,2025-01-17 17:09:49.423733,0.974388,-0.06896198,0.21052635,0.039020836,-0.78266543,-0.052717913,0.18160845,-0.5930197,0.9987682,-0.038078915,-0.025085974,0.021083891,-3.497122054773756,-1.866721328363772,9.38121435703218,2.5261576944406756,-12,54,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2173,2025-01-17 17:09:49.440400,0.9727701,-0.07215749,0.21293864,0.05657357,-0.79272676,-0.050340876,0.18229929,-0.5794959,0.9987686,-0.037809968,-0.025393698,0.021178782,-3.9849668381333156,-0.28838785722641397,9.534817845124303,2.537680109399843,-10,52,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2174,2025-01-17 17:09:49.457067,0.972298,-0.07498372,0.20867057,0.074180275,-0.8031836,-0.047073368,0.18156257,-0.5654324,0.99877644,-0.03752177,-0.025428899,0.021281451,-3.4430590620459363,-0.882398296776564,9.292607723014566,2.548795315720224,-8,50,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2175,2025-01-17 17:09:49.473734,0.97072375,-0.07812135,0.20766136,0.09220129,-0.8132811,-0.045129728,0.18227074,-0.5507386,0.9987812,-0.037286144,-0.025513452,0.021368593,-3.361931778831552,-1.064451291078654,9.534870687843936,2.5584979656258207,-6,48,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2176,2025-01-17 17:09:49.490401,0.9689293,-0.08121639,0.20595936,0.11042178,-0.82346714,-0.04234022,0.18211874,-0.5356683,0.9987909,-0.03690873,-0.025620338,0.021440983,-4.008653803705932,-0.338340113583672,10.418336248060182,2.5662009573878635,-4,46,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2177,2025-01-17 17:09:49.507068,0.9670418,-0.08411472,0.20281494,0.12904671,-0.8335492,-0.039341807,0.18192868,-0.5201427,0.99879503,-0.03674962,-0.025617946,0.021527052,-4.266270846305208,-0.6319515243346799,10.216494007828025,2.5756044534964637,-2,43,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2178,2025-01-17 17:09:49.523735,0.964495,-0.08710551,0.20076184,0.14794835,-0.84334123,-0.03651368,0.18208823,-0.5042665,0.9987906,-0.03673721,-0.02573027,0.02161777,-4.47471504016569,-1.005826319403798,9.526314945979573,2.586464850180319,0,41,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2179,2025-01-17 17:09:49.540402,0.9617552,-0.08990751,0.19751202,0.16722614,-0.85295063,-0.03365904,0.18235573,-0.4879417,0.998785,-0.036847048,-0.0257061,0.021719694,-4.120460386381422,-0.9401176292563139,9.748339078289526,2.5983563430630245,2,39,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
2180,2025-01-17 17:09:49.557069,0.95850444,-0.09280061,0.19433482,0.18687707,-0.86225057,-0.03081236,0.18311647,-0.4712128,0.99877286,-0.037143487,-0.025688142,0.021799773,-3.35254800182745,-0.699245271800844,9.845186075604984,2.6083021626808933,4,37,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49056776277637,133.01654949385568,3.3823700648316657,27.906418615813728,146.36860966940358
