Measurement Mode:,Custom Modes - Custom Mode 4
number,time,wol,xol,yol,zol,wor,xor,yor,zor,wb,xb,yb,zb,accx,accy,accz,deg,angle_left,angle_right,err_deg_oar_left_x,err_deg_oar_right_x,err_deg_boat_x,err_deg_oar_left_y,err_deg_oar_right_y,err_deg_boat_y,err_deg_oar_left_z,err_deg_oar_right_z,err_deg_boat_z,latitude,longitude,speed,SPM,SPLIT
1945,2025-01-17 17:09:45.606990,0.9631063,-0.09858751,0.19105399,0.16197866,-0.85301924,-0.037876744,0.18263428,-0.4874083,0.9995513,-0.002788892,-0.024008892,0.019351989,-4.508101447575492,-0.30652452228738597,9.932839296832583,2.2272308390676936,2,39,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1946,2025-01-17 17:09:45.623657,0.95876646,-0.10278313,0.19225095,0.18241182,-0.86312175,-0.03433147,0.18345001,-0.46924043,0.9995507,-0.0030344883,-0.02399833,0.019361258,-4.26486462071595,-0.677576526070704,9.813504861095742,2.2289629216964704,4,37,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1947,2025-01-17 17:09:45.640324,0.95547014,-0.105370976,0.18565458,0.20380884,-0.87341815,-0.03034036,0.18244183,-0.45048177,0.99954915,-0.0032365043,-0.024024164,0.019380242,-3.259219277051316,-0.650416887104874,10.240278752241498,2.23170843178833,7,35,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1948,2025-01-17 17:09:45.656991,0.95077497,-0.10894888,0.18324916,0.22496426,-0.88323253,-0.027291812,0.18292528,-0.43092012,0.99954826,-0.0032850178,-0.024044752,0.019392997,-1.332975471079374,-0.061937020248671995,9.861342687995352,2.2333158266425537,9,32,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1949,2025-01-17 17:09:45.673658,0.9458251,-0.11153415,0.17932418,0.2466777,-0.8927382,-0.023886107,0.18300378,-0.41104248,0.99955106,-0.0032343427,-0.023937251,0.019391,0.821882120171784,-0.56339313378207,10.02146981215728,2.232890239888757,12,29,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1950,2025-01-17 17:09:45.690325,0.9404174,-0.11386916,0.17500071,0.2684317,-0.9019483,-0.020115774,0.18238539,-0.39092055,0.9995574,-0.002884809,-0.023727942,0.01938045,1.986853291044054,-0.463973769242292,10.206618180245322,2.2306205382195636,14,27,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1951,2025-01-17 17:09:45.706992,0.9341271,-0.11626327,0.17238453,0.29018104,-0.91069883,-0.01671399,0.18213083,-0.37037197,0.99956304,-0.002495477,-0.023532309,0.019377261,2.037888746997942,-0.0035407804149300247,10.578453486018077,2.229111419855996,17,24,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1952,2025-01-17 17:09:45.723659,0.9276371,-0.11788271,0.16790527,0.3121421,-0.9190254,-0.013416668,0.18184054,-0.34949195,0.9995732,-0.0020728167,-0.023159493,0.019351184,1.322198871582576,-0.234769574268342,10.298330540846012,2.2248356114558594,20,22,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1953,2025-01-17 17:09:45.740326,0.92039365,-0.11987749,0.16458803,0.33383745,-0.92682475,-0.010223449,0.18176222,-0.32840878,0.9995806,-0.0015022894,-0.0229144,0.019316435,0.422346563815854,-0.24848287378494,10.44652787117067,2.219257634574113,22,19,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1954,2025-01-17 17:09:45.756993,0.9126975,-0.121727906,0.16105184,0.35533085,-0.9341481,-0.0068527227,0.18148668,-0.3072158,0.99959016,-0.0009953557,-0.022534592,0.019293457,0.498359550466782,0.158146706543484,10.15791808615128,2.2151916205254225,25,17,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1955,2025-01-17 17:09:45.773660,0.9042029,-0.12431861,0.15923603,0.3763477,-0.9409332,-0.0032371227,0.18105663,-0.28609645,0.9995947,-0.00064712577,-0.022320932,0.019320488,0.34746031710400205,0.05871752713192143,10.1844310553613,2.2173454836403166,28,14,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1956,2025-01-17 17:09:45.790327,0.8946863,-0.12827598,0.16060874,0.3966341,-0.94634676,-0.0008124914,0.18488649,-0.26503336,0.9996011,-0.00045555737,-0.022049023,0.019305766,-0.221954623101468,-0.246380061502566,10.127454612117768,2.2151128206186272,30,11,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1957,2025-01-17 17:09:45.806994,0.88340575,-0.1360804,0.16956018,0.41515967,-0.9495516,-6.725453e-05,0.19707724,-0.24394862,0.99960566,-0.0003866041,-0.021862745,0.019293249,-0.32624743837166403,0.226957282787292,9.704182075279224,2.2134671453564727,33,9,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
1958,2025-01-17 17:09:45.823661,0.8698833,-0.14897205,0.18673562,0.4315927,-0.9503392,-0.0005110763,0.21711227,-0.22297077,0.9996113,-0.0004969053,-0.021612056,0.0192841,-0.243186192663948,0.06849483277556401,10.222619359205082,2.212643478625188,35,6,-19.64762836720025,14.556613707402931,0.7503658953161981,159.5111288931663,-161.61964256189688,-178.80122179611803,25.858410004839303,66.92499055534522,9.695802622664234,35.49067767536864,133.0164926270742,3.1434805779474715,33.33266667999973,146.41938797711126
